delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
721506.000,124485.000,30228.000,15220.000,17534.000,12047.000,4913.000,2288.000,35.000,44.000,40.000,0.000
867030.000,111643.000,48620.000,64887.000,115364.000,40261.000,29074.000,6312.000,35.000,48.000,1.000,0.000
343643.000,30210.000,56267.000,33608.000,12611.000,10017.000,2665.000,692.000,44.000,53.000,75.000,0.000
163965.000,27180.000,37524.000,26781.000,10561.000,12271.000,2554.000,947.000,43.000,70.000,49.000,0.000
342227.000,30384.000,39677.000,17673.000,14214.000,16065.000,14619.000,5175.000,48.000,75.000,36.000,0.000
713348.000,21325.000,91966.000,37605.000,6240.000,6868.000,2827.000,2631.000,60.000,90.000,68.000,0.000
317690.000,134916.000,38561.000,6882.000,35213.000,39157.000,14607.000,4501.000,44.000,100.000,-20.000,0.000
2610050.000,350448.000,87268.000,8306.000,86469.000,91264.000,5475.000,3554.000,54.000,84.000,73.000,0.000
204798.000,31752.000,19054.000,39627.000,10376.000,11576.000,2839.000,789.000,61.000,57.000,146.000,0.000
555696.000,60142.000,119442.000,78627.000,24334.000,26735.000,9281.000,3195.000,56.000,54.000,26.000,0.000
